1,『蝶々夫人』初演（1904年）,1904
2,『ニューズウィーク』創刊（1933年）,1933
3,金融緊急措置令施行。旧円紙幣の通用を停止し、預金持出しを制限（1946年）,1946
4,マサチューセッツ州スプリングフィールドにバスケットボール殿堂が開設（1968年）,1968
5,フォルクスワーゲン・タイプ1（ビートル）の累計生産台数がフォード・モデルTの世界記録を塗り替える（1972年）,1972
6,中越戦争勃発（1979年）,1979
7,コソボがセルビアから独立を宣言（2008年）,2008
